anno,media_salarial,media_indice_produccion,parados_20_24,parados_25_29,parados_30_34,parados_50_54,parados_55_59,parados_60_64
2008,21883.42,96.401,349600,349800,300800.00,175800.00,118400.00,58600.00
2009,22511.47,91.133,400600,450700,359300.00,285600.00,203500.00,96500.00
2010,22790.2,94.828,421300,473800,399700.00,351700.00,250400.00,112300.00
2011,22899.35,100.97,376600,398700,342300.00,404400.00,281400.00,123000.00
2012,22726.44,103.69,384800,427700,378700.00,508500.00,351700.00,151500.00
2013,22697.86,103.67,436700,484900,425800.00,562400.00,399100.00,175500.00
2014,22858.17,102.22,512300,547900,520400.00,557900.00,430300.00,167400.00
2015,23106.3,100,578600,629200,625600.00,526300.00,415100.00,177600.00
2016,23156.34,98.216,677700,703800,731100.00,492100.00,390400.00,182400.00
2017,23646.5,101.98,739700,811600,834200.00,440400.00,358400.00,173900.00
2018,24009.12,104.59,734200,814200,837900.00,400500.00,326700.00,170800.00
2019,24395.98,104.54,673400,713500,752100.00,378000.00,310000.00,169800.00
2020,25165.51,101.52,618500,708600,695400.00,369400.00,313300.00,181800.00
2021,25896.82,111.79,594400,652800,623700.00,377600.00,352300.00,209100.00
2022,26345.84,133.87,380600,417600,374000.00,375500.00,303000.00,208200.00
